Key	Value
[SCHOOL]的弟子勃然大怒，挥手放出七八道阴森森的剑光向[NAME]杀来。[NAME]也祭出法宝对敌，双方战作一团。	[SCHOOL] đệ tử giận tím mặt, phất tay thả ra bảy tám đạo âm trầm kiếm quang hướng về phía [NAME] Đánh tới. [NAME] Cũng xuất pháp bảo ra đối địch, song phương chiến thành một đoàn.
[SCHOOL]的弟子恨恨的看了看你，但摄于你的修为，并没有做什么过激的事。	[SCHOOL] đệ tử oán hận nhìn ngươi một cái, nhưng hút lấy tu vi của ngươi, cũng không làm chuyện gì quá khích.
[NAME]选择无视对面，可[SCHOOL]的几名弟子却冷笑一声，祭出法宝向[NAME]发动了猛烈的攻击。	[NAME] Lựa chọn không nhìn đến đối diện , Khả [SCHOOL] mấy tên đệ tử lại cười lạnh một tiếng, xuất ra pháp bảo hướng về phía [NAME] Phát động công kích mãnh liệt.
[SCHOOL]的弟子看到[NAME]大怒，喊了一声魔头受死便结成阵势向[NAME]杀来。	[SCHOOL] đệ tử nhìn đến [NAME] Giận dữ, hô một tiếng ma đầu nhận lấy cái chết liền kết thành trận thế hướng về phía [NAME] Đánh tới.
[NAME]狞笑一声，运起真力，一道匹练似的剑光纵横飞斩，转眼间就破了敌人的攻势，对面几人被一剑一个当了[NAME]的剑下亡魂。。	[NAME] Dữ tợn cười một tiếng, vận chân lực, một đạo kiếm quang như lụa tung hoành bay chém, trong nháy mắt liền phá địch nhân thế công, mấy người đối diện đều bị trảm từng kiếm [NAME] vong hồn dưới kiếm. .
[NAME]选择无视对面，可[SCHOOL]的几名弟子却相视一眼，大喊一声魔头受死，就祭出法宝向[NAME]发动了猛烈的攻击。	[NAME] Lựa chọn không nhìn đến đối diện , Khả [SCHOOL] mấy tên đệ tử lại nhìn nhau, hô to một tiếng ma đầu nhận lấy cái chết, liền xuất ra pháp bảo hướng về phía [NAME] Phát động công kích mãnh liệt.
[NAME]上前同[SCHOOL]的长老打了声招呼，两人结伴同游[SCHOOL]附近的几处胜地，品风论道，畅谈许久。临分别时，[SCHOOL]的这名长老送你一个自己炼制的小法宝作为纪念。	[NAME] Cùng tiến lên [SCHOOL] trưởng lão lên tiếng chào hỏi, hai người kết bạn cùng đi dạo [SCHOOL] Mấy chỗ thắng địa ở phụ cận, phẩm phong luận đạo, tâm trạng hồi lâu. Trước lúc ly biệt, [SCHOOL] cái này tên trưởng lão tặng ngươi một món pháp bảo do bản thân luyện chế để làm kỷ niệm .
[NAME]上前恭敬的拜见了[SCHOOL]的长老，长老很开心的同[NAME]聊了两句，并指点了他几句修行法诀。	[NAME] Tiến lên cung kính bái kiến [SCHOOL] trưởng lão, trưởng lão rất vui vẻ cùng [NAME] Hàn huyên hai câu, đồng thời chỉ điểm hắn vài câu tu hành pháp quyết.
[NAME]和[SCHOOL]的长老打了声招呼，大家聊了两句，[SCHOOL]的长老说有事在身，匆匆离去了。	[NAME] cùng [SCHOOL] trưởng lão lên tiếng chào hỏi, mọi người hàn huyên hai câu, [SCHOOL] trưởng lão nói trong người có việc, vội vàng rời đi.
[NAME]向这名[SCHOOL]的长老打了个招呼，对方看了[NAME]一眼，微不可察的点了点头。	[NAME] Hướng tên này [SCHOOL] trưởng lão lên tiếng chào, đối phương nhìn [NAME] một cái, nhẹ gật đầu khó mà thấy.
[NAME]笑嘻嘻的同[SCHOOL]的长老打了个招呼，暗中却发出了致命的一击，重创了对方。	[NAME] Cười hì hì cùng [SCHOOL] trưởng lão lên tiếng chào, âm thầm thi triển một kích trí mạng, đánh đối phương trọng thương.
[SCHOOL]的长老不敢置信的看着[NAME]，奋起反击，但最终还是被[NAME]接二连三的狠招夺去了性命。	[SCHOOL] trưởng lão không dám tin vào trước mắt mình [NAME], phấn khởi phản kích, nhưng cuối cùng vẫn là bị [NAME] Liên tiếp ngoan chiêu đoạt đi tính mệnh.
[NAME]笑嘻嘻的同[SCHOOL]的长老打了个招呼，暗中却发出了致命的一击，[SCHOOL]的长老在最后关头察觉到了这次偷袭，险之又险的躲过了这招并发起凌厉的反击。	[NAME] Cười hì hì cùng [SCHOOL] trưởng lão lên tiếng chào, âm thầm thi triển một kích trí mạng, [SCHOOL] trưởng lão tại thời khắc sống còn đã nhận ra lần này đánh lén, hiểm lại càng hiểm tránh thoát chiêu này đồng thời phát động phản kích mạnh mẽ.
[NAME]偷袭失败，心神一乱，被长老的绝招命中。最后使尽浑身解数，侥幸脱身。	[NAME] Đánh lén thất bại, tâm thần vừa loạn, bị tuyệt chiêu của trưởng lão đánh trúng. Cuối cùng dốc hết bản lĩnh mình có , May mắn thoát thân.
[SCHOOL]的长老不敢置信的看着[NAME]，刚准备逃生，就被[NAME]接二连三的狠招夺去了性命。	[SCHOOL] trưởng lão không dám tin vào trước mắt mình [NAME], vừa mới chuẩn bị chạy trốn, liền bị  [NAME] Liên tiếp ngoan chiêu đoạt đi tính mệnh.
[NAME]见面不多说，先下手为强，一记狠手向[SCHOOL]的长老身上招呼，直接重创了对方。	[NAME] Gặp mặt không nhiều lời, tiên hạ thủ vi cường, một ngoan thủ hướng về phía [SCHOOL] trưởng lão lên tiếng chào hỏi, trực tiếp đánh đối phương trọng thương.
[SCHOOL]的长老猝不及防，慌忙刚准备逃生，就被[NAME]接二连三的狠招夺去了性命。	[SCHOOL] trưởng lão vội vàng không kịp chuẩn bị, cuống quít vừa mới chuẩn bị chạy trốn, liền bị  [NAME] Liên tiếp ngoan chiêu đoạt đi tính mệnh.
[NAME]见面不多说，先下手为强，一记狠手向[SCHOOL]的长老身上招呼，[SCHOOL]的长老临危不乱，险之又险的躲过了这招并发起凌厉的反击。	[NAME] Gặp mặt không nhiều lời, tiên hạ thủ vi cường, một ngoan thủ hướng về phía [SCHOOL] trưởng lão lên tiếng chào hỏi, [SCHOOL] trưởng lão gặp nguy không loạn, hiểm lại càng hiểm tránh thoát chiêu này đồng thời phát động phản kích mạnh mẽ.
[SCHOOL]的长老看[NAME]装作没看到自己，对你的无礼略感不满。	[SCHOOL] trưởng lão nhìn [NAME] Làm như không thấy bản thân, cảm thấy bất mãn với sự vô lễ của ngươi.
[SCHOOL]的长老怒极反笑，他出手就是[SCHOOL]的镇派绝招，狠狠攻向[NAME]。[NAME]狞笑一声，祭出自己的法宝迎敌。一时间空中两道流光如惊龙横空斗作一团。	[SCHOOL] trưởng lão giận quá hóa cười, hắn xuất thủ liền [SCHOOL] trấn phái tuyệt chiêu, hung hăng công về phía [NAME]. [NAME] Dữ tợn cười một tiếng, xuất ra pháp bảo của mình nghênh địch. Trong lúc nhất thời không trung hai vệt lưu quang như Kinh Long hoành không đấu cuộn thành một đoàn.
两人瞬息间已过手数十招，[NAME]看重一个破绽，拼着自己受伤一招打碎了[SCHOOL]的长老的天灵盖，[SCHOOL]的长老死状惨烈，神形俱灭。	Hai người trong chớp mắt đã qua tay hơn mười chiêu, [NAME] Nhìn thấy một sơ hở, liều mạng để bản thân thụ thương đánh ra một chiêu vỡ nát [SCHOOL] thiên linh cái của trưởng lão, [SCHOOL] trưởng lão tử trạng thảm thiết, thần hình câu diệt.
[SCHOOL]的长老怒极反笑，他出手就是[SCHOOL]的镇派绝招，狠狠攻向[NAME]。[NAME]狞笑一声，祭出自己的法宝迎敌。但却错估了对方杀招的威力，竟然被瞬间破去了法宝。	[SCHOOL] trưởng lão giận quá hóa cười, hắn xuất thủ liền [SCHOOL] trấn phái tuyệt chiêu, hung hăng công về phía [NAME]. [NAME] Dữ tợn cười một tiếng, xuất ra pháp bảo của mình nghênh địch. Nhưng lại đoán sai uy lực của sát chiêu đối phương, pháp bảo vậy mà lại bị phá vỡ trong nháy mắt.
[NAME]大惊失色，已经失了先机，虽然拼命逃走，但却被[SCHOOL]的长老打中致命的一击。	[NAME] Quá sợ hãi, đã trải qua mất tiên cơ, mặc dù liều mạng đào tẩu, nhưng lại bị [SCHOOL] trưởng lão đánh trúng một kích trí mạng.
法术轰击	Pháp bảo oanh kích
[SCHOOL]的长老皱了皱眉，一副不想惹事的样子转身离去。暗中却向[NAME]使出[SCHOOL]的绝杀秘术，想不费吹灰之力夺取[NAME]性命。	[SCHOOL] trưởng lão nhíu nhíu mày, một bộ dạng không muốn gây chuyện quay người rời đi. Âm thầm lùi hướng [NAME] Sử xuất [SCHOOL] tuyệt sát bí thuật, muốn đoạt lấy không tốn nhiều sức [NAME] Tính mệnh.
[NAME]早已察觉，也故作中招，趁敌人大喜回身之际发出运起全身功力的一击。只一道惊龙般的神光如神矢贯月，瞬间将毫无防备的[SCHOOL]的长老打成飞灰。	[NAME] Sớm đã phát giác, cũng ra vẻ trúng chiêu, thừa dịp địch nhân mừng rỡ xoay người vận một kích dốc hết sức toàn thân. Chỉ một đạo Kinh Long thần quang như thần tiễn quán nguyệt, trong nháy mắt không chút nào phòng bị [SCHOOL] trưởng lão đánh thành tro bụi.
[NAME]大惊失色，已经失了先机，虽然拼命逃走，但却被[SCHOOL]的长老的致命的一击打中了心脏。	[NAME] Quá sợ hãi, đã trải qua mất tiên cơ, mặc dù liều mạng đào tẩu, nhưng lại bị [SCHOOL] trưởng lão một kích trí mạng đánh trúng trái tim.
[SCHOOL]的长老皮笑肉不笑的看了你一样，似乎想动手，但最终掉转方向离去。	[SCHOOL] trưởng lão ngoài cười nhưng trong không cười nhìn ngươi, tựa hồ muốn động thủ, nhưng cuối cùng quay lưng rời đi.
[NAME]选择无视对面，可[SCHOOL]的长老却不准备放过他，他目露凶光，挥手就拦住[NAME]的去路，并发动了猛烈的攻击。	[NAME] Lựa chọn không nhìn đến đối diện , Khả [SCHOOL] trưởng lão lại không định buông tha hắn, hắn mắt lộ ra hung quang, phất tay liền ngăn lại [NAME] đường đi, cùng phát động công kích mãnh liệt.
双方斗了几个回合，[NAME]感觉灵气不继，一时疏忽被对方破了法术。[SCHOOL]的长老招招夺命，[NAME]拼尽全力才逃脱了[SCHOOL]的长老的追杀。	Song phương đấu mấy hiệp, [NAME] Cảm giác linh khí không đủ, nhất thời sơ sẩy bị đối phương phá pháp thuật. [SCHOOL] trưởng lão chiêu chiêu đoạt mệnh, [NAME] Dốc hết toàn lực mới đào thoát [SCHOOL] trưởng lão truy sát.
[SCHOOL]的长老看到[NAME]神色不忿，但是想了想[NAME]在修行界的凶威还是啐了一口，扭头离去。	[SCHOOL] trưởng lão nhìn đến [NAME] Thần sắc không cam lòng, nhưng nghĩ nghĩ [NAME] Hung uy tại tu hành giới vẫn còn bị phỉ nhổ, quay đầu bỏ đi.
[SCHOOL]的长老大喝一声歪门邪道，人人得而诛之，挥手祭出随身法宝，对[NAME]发起凌厉的攻势。	[SCHOOL] trưởng lão hét lớn một tiếng bàn môn tả đạo, người người có thể tru diệt, phất tay xuất ra pháp bảo tùy thân, đối với [NAME] Khởi xướng thế công sắc bén.
[NAME]见对方招数精奇，先失了胆气。只得卖了个破绽，付出受了几处伤的代价借遁光逃离。	[NAME] Thấy đối phương thủ đoạn tinh kỳ, là kẻ mất dũng khí trước. Chỉ đành lộ ra một điểm sơ hở, bỏ ra đại giá bị thương đôi chỗ sử dụng độn quang chạy trốn.
[NAME]拜访了[SCHOOL]的掌门，掌门十分感谢[NAME]的门派这些年对[SCHOOL]的弟子的关照。他代表[SCHOOL]将镇派法宝赠与[NAME]。希望两派可以在将来继续守望相助，友谊长存。	[NAME] Bái phỏng [SCHOOL] chưởng môn, chưởng môn mười phần cảm tạ [NAME] môn phái những năm này [SCHOOL] đệ tử chiếu cố. Hắn đại biểu [SCHOOL] Đem pháp bảo trấn phái tặng cho [NAME]. Hi vọng hai phái có thể tiếp tục tương trợ lẫn nhau trong tương lai, hữu nghị trường tồn.
红云神砂	Hồng vân thần sa
丹霞宗镇派法宝，以万年朱砂炼制，破一切邪秽。	Pháp bảo trấn phái Đan Hà Tông, luyện chế với chu sa vạn năm , phá hủy tất cả tà uế .
天莲剑	Thiên liên kiếm
昆仑宫镇派法宝，以五色金莲为胎铸成剑形，深具灵性。	Pháp bảo trấn phái Côn Lôn Cung , Với Ngũ sắc kim liên làm thai rèn thành hình kiếm , Hết sức linh tính .
天极神针	Thiên cực thần châm
极天宫镇派法宝，以天地灵药琅琊果为材料制成针体，又用天雷淬炼百年而成。	Pháp bảo trấn phái Cực Thiên Cung , Với thiên địa linh dược Lang gia quả làm vật liệu chế thành châm , Lại dùng thiên lôi tôi luyện trăm năm mà thành .
紫霞锁云镯	Tử hà tỏa vân trạc
紫霄宗镇派法宝，以天地灵药木枯藤打造而成，威力不凡。	Pháp bảo trấn phái Tử Tiêu Tông, Với thiên địa linh dược Mộc khô đằng chế tạo thành , Uy lực bất phàm .
五雷镇狱神符	Ngũ lôi trấn ngục thần phù
正一道镇派之宝，以太古陨星为原料制成的法宝，上面刻五雷天心正法，威力惊人。	Pháp bảo trấn phái Chính Nhất Đạo , Pháp bảo lấy sao băng thời cổ đại làm nguyên liệu chế thành, phía trên khắc Ngũ Lôi Thiên Tâm Quyết, uy lực kinh người.
青索剑	Thanh tác kiếm
青莲剑宗镇派之宝，以陨星之铁锻造，锋利无匹。	Pháp bảo trấn phái Thanh Liên Tông , Lấy sao băng làm sắt rèn , Sắc bén vô cùng .
寒织五云帕	Hàn chức ngũ vân mạt
栖霞宗镇派之宝，以冰蚕丝织成，神妙非常。	Bảo vật trấn phái Tê Hà Tông , Với sợi băng tằm dệt thành , Thần diệu vô cùng .
百灵腐仙剑	Bách linh hủ kiếm tiên
百蛮山镇派邪剑，以数百妖兽内丹铸成，一旦祭出，邪气滔天。	Tà kiếm trấn phái Bách Man Sơn , Lấy mấy trăm nội đan yêu thú mà đúc thành , Một khi xuất ra , Tà khí ngập trời .
元磁两心环	Nguyên từ lưỡng tâm hoàn
七仟坞镇派之宝，威力惊人且深具灵性，传说法宝有自我意识，只要认主，哪怕是白痴都可以使用。	Bảo vật trấn phái Thất Thiên Ổ , Hết sức linh tính mà còn uy lực kinh người, Đồ rằng tự thân pháp bảo đã có ý thức , Chỉ cần nhận chủ , là đồ ngu ngốc cũng có thể sử dụng.
七杀剑	Thất sát kiếm
黑山镇派之宝，历经数次正邪大战，无物不斩。	Bảo vật trấn phái Hắc Sơn , Trải qua mấy lần chính tà đại chiến , không có gì không trảm.
合欢铃	Hợp hoan linh
合欢派镇派法宝，用千棱神玉制成，细看之下有神光流转其中。	Pháp bảo trấn phái Hợp Hoan Phái , Chế tạo từ Thiên lăng thần ngọc, Nhìn kỹ sẽ thấy thần quang chuyển động trong đó .
七炎伞	Thất viêm tán
万妖殿镇派之宝，以神药朱果之核雕成，祭出有焚山煮海之力。	Bảo vật trấn phái Vạn Yêu Điện , Với thần dược hạt Chu Quả chạm trổ mà thành, Xuất ra có sức mạnh thiêu núi nấu biển .
[NAME]此次来极天宫，无意间看到极天宫一名刚入门的弟子正喃喃自语的阅读一本书册。[NAME]十分好奇，遂上前询问。那名弟子考虑到[NAME]的宗门也是名满天下的大派且与本派交好，于是便笑着解释了一番。	[NAME] Lần này đến Cực Thiên Cung, trong lúc vô tình chứng kiến Cực Thiên Cung một Cương Nhập môn đệ tử chính tự lầm bầm Xem một quyển sách. [NAME] vô cùng hiếu kỳ, bèn tiến đến hỏi. Tên đệ tử cân nhắc [NAME] tông môn là đại phái danh vang thiên hạ mà còn giao hảo với bản phái, vì vậy liền cười giải thích một phen.
原来极天宫开派宗师开宗立派后便游历人间，最后下落不明。只有古代留下的孤本《群仙录》记载其最后游戏人间的传说故事。历代极天宫弟子无事之时都会翻阅此册，一方面瞻仰祖师，一方面也希望都在据此寻找开派宗师的遗蜕线索。	Thì ra tông sư khai phái Cực Thiên Cung sau khi khai tông lập phái liền ngao du nhân gian, cuối cùng không biết ở nơi nào. Xưa kia chỉ để lại bản đơn < Quần Tiên Lục > ghi chép câu chuyện truyền thuyết lần cuối cùng ông du hí nhân gian. Đệ tử các đời Cực Thiên Cung lúc rảnh rỗi đều lật quyển sách này ra xem, một mặt là để chiêm ngưỡng tổ sư, một phương diện vậy hi vọng Đô tại dưới đây tìm kiếm khai phái tông sư lột xác manh mối.
[NAME]心中一动，便问这名弟子讨要了一份副本好回去研读。	[NAME] trong lòng khẽ động, liền hỏi xin tên đệ tử một bản sao của quyển sách mang trở về nghiên cứu.
[NAME]拜访了[SCHOOL]，[SCHOOL]上下十分欢迎你的来访，他们盛情邀请[NAME]在此小住了几天，并带他游览了[SCHOOL]附近。在这些日子里，[NAME]与诸位同道切磋道法，谈天说地，十分尽兴。	[NAME] Bái phỏng [SCHOOL], [SCHOOL] Trên dưới mười phần hoan nghênh ngươi tới chơi, bọn hắn thịnh tình mời [NAME] Ở đây ở mấy ngày, đồng thời dẫn hắn du lịch [SCHOOL] phụ cận. Tại những ngày này, [NAME] Cùng chư vị đồng đạo luận bàn đạo pháp, nói chuyện trời đất, mười phần tận hứng.
临走之时，[SCHOOL]送了[NAME]一份珍贵的礼物，希望两派的友谊可以长存。	Trước khi rời đi, [SCHOOL] đưa [NAME] Một phần trân quý lễ vật, hi vọng hữu nghị hai phái có thể trường tồn.
[NAME]拜访了[SCHOOL],[SCHOOL]派中的几个弟子奉命接待了[NAME]。双方愉快的谈了一个下午，[NAME]看看天色已晚，便告辞而去。	[NAME] Bái phỏng [SCHOOL],[SCHOOL] Trong phái mấy người đệ tử phụng mệnh tiếp đãi [NAME]. Song phương vui sướng nói chuyện cả buổi chiều, [NAME] Nhìn sắc trời đã tối, liền cáo từ.
[NAME]拜访了[SCHOOL]，但[SCHOOL]的看门弟子表示派中有突发急事，不便待客。	[NAME] Bái phỏng [SCHOOL], nhưng [SCHOOL] đệ tử canh cổng bày tỏ trong phái có đột nhiên có việc gấp, không tiện đãi khách.
[NAME]拜访了[SCHOOL]，[SCHOOL]的两个年轻弟子在客房简单接待了他。他们表示派中长辈都在闭关， 不方便待客。	[NAME] Bái phỏng [SCHOOL], [SCHOOL] hai cái đệ tử trẻ tuổi tại phòng khách đơn giản tiếp đãi hắn. Bọn hắn bày tỏ trưởng bối trong phái đều đang bế quan, không tiện đãi khách.
[NAME]拜访了[SCHOOL]，[SCHOOL]的两个年轻弟子在客房简单接待了他。他们表示派中长辈都在闭关，不方便待客。	[NAME] Bái phỏng [SCHOOL], [SCHOOL] hai cái đệ tử trẻ tuổi tại phòng khách đơn giản tiếp đãi hắn. Bọn hắn bày tỏ trưởng bối trong phái đều đang bế quan, không tiện đãi khách.
[NAME]拜访了[SCHOOL]，[SCHOOL]派两个弟子接待了他。双方在密室聊了不少时间。	[NAME] Bái phỏng [SCHOOL], [SCHOOL] Phái hai người đệ tử tiếp đãi hắn. Song phương tại mật thất trò chuyện thời gian không ngắn.
[NAME]拜访了[SCHOOL]，[SCHOOL]派两个弟子接待了他，并邀请[NAME]去密室商谈。	[NAME] Bái phỏng [SCHOOL], [SCHOOL] Phái hai người đệ tử tiếp đãi hắn, đồng thời mời [NAME] Đi mật thất trao đổi.
在[NAME]走进密室后，才发现这是一个陷阱，他被[SCHOOL]抓住，成为了活靶子，几经折磨后，他假死闭气，被弃尸荒野，侥幸逃了出来。	Tại [NAME] đi vào mật thất về sau, chợt phát hiện cái này là một cái bẫy, hắn bị [SCHOOL] Bắt lấy, trở thành bia sống, sau nhiều lần trải qua tra tấn, hắn nín thở giả chết, thi thể bị vứt nơi hoang dã, may mắn trốn thoát.
[NAME]潜入极天宫的藏宝库，竟然发现藏宝库最中心供奉有一本书册。	[NAME] Lẻn vào Tàng bảo khố của Cực Thiên Cung, vậy mà lại phát hiện ở trung tâm bảo khố có thờ một quyển sách.
[NAME]心中一动，想到宗门在修行界收集到的一些极天宫的传言，于是将这本书册悄悄偷了出来。	[NAME] trong lòng khẽ động, nghĩ đến một vài tin đồn về Cực Thiên Cung do tu hành giới thu thập, vì vậy lặng lẽ trộm quyển sách này ra.
[NAME]偷偷潜入了[SCHOOL]，他几经周折，终于找到了[SCHOOL]的藏宝室，并从中偷拿了几件宝物。事后，[SCHOOL]以术法推算，从蛛丝马迹中得知偷盗者的身份，为此恼怒不已。	[NAME] Len lén lẻn vào [SCHOOL], bọn hắn trải qua trắc trở, rốt cuộc tìm được [SCHOOL] Tàng Bảo Thất, đồng thời trộm mấy món bảo vật. Sau sự việc đó, [SCHOOL] Lấy thuật pháp suy tính, từ trong dấu vết biết được thân phận kẻ trộm, vì thế tức giận không thôi.
[NAME]偷偷潜入了[SCHOOL]，他几经周折，终于找到了[SCHOOL]的藏宝室，然而在破解禁制时，不小心触动了警报。[NAME]寡不敌众，身受重伤，被当场拿下。	[NAME] Len lén lẻn vào [SCHOOL], bọn hắn trải qua trắc trở, rốt cuộc tìm được [SCHOOL] Tàng Bảo Thất, nhưng mà trong lúc phá giải cấm chế, không chú ý xúc động cảnh báo. [NAME] Khó địch quần hồ, thân bị trọng thương, bị bắt tại chỗ.
[NAME]的双眼被挖，四肢被打断并被扔下悬崖，只侥幸留下一条残命。[SCHOOL]严厉警告了他的宗门，让他们管好自己的弟子。	[NAME] bị móc hai mắt, tứ chi bị đánh gãy đồng thời bị ném xuống vách núi, chỉ may mắn giữ lại một cái mạng tàn. [SCHOOL] Nghiêm khắc cảnh cáo tông môn của hắn, bảo bọn hắn quản tốt đệ tử của mình.
酷刑	Cực hình
法宝重击	Pháp bảo trọng kích
[NAME]刻意收了神通，以凡人之身体会凡人之心，游戏人间，随心而为。某日清晨，[IT]心中忽然一动，竟然有所领悟。	[NAME] Tận lực thu thần thông, lấy phàm nhân thân thể hội phàm nhân chi tâm, dạo chơi nhân gian, tùy tâm mà làm. Sáng sớm một ngày nào đó, [IT] Trong lòng bỗng nhiên khẽ động, vậy mà lại có lĩnh ngộ.
[NAME]哈哈大笑，化作一道金光离去，给当地留下无数传说。	[NAME] Cười ha ha, hóa thành một vệt kim quang rời đi, để lại cho nơi đó vô số truyền thuyết.
