Key	Value
[color=#9e6404]相关工作：[/color]\n移除地板\n拆除建筑\n修理建筑\n移动和安装建筑\n建造建筑\n搬运建筑原料	[color=#9e6404]Công việc liên quan: [/color]\nDời sàn nhà\nDỡ bỏ công trình\nSửa chữa công trình\nDi chuyển và lắp đặt công trình\nXây dựng công trình\nVận chuyển nguyên liệu xây dựng
[color=#9e6404]相关工作：[/color]\n搬人上床\n照顾病人	[color=#9e6404]Công việc liên quan: [/color]\nĐưa người lên giường\nChăm sóc bệnh nhân
[color=#9e6404]相关工作：[/color]\n祭祀\n搬人上床\n搬运燃料\n埋葬\n搬运角色\n挑水\n搬运物品\n搬运生产原料\n打扫地面	[color=#9e6404]Công việc liên quan: [/color]\nTế tự\nĐưa người lên giường\nVận chuyển nhiên liệu\nMai táng\nVận chuyển nhân vật\nGánh nước\nVận chuyển vật phẩm\nVận chuyển nguyên liệu sản xuất\nQuét tước mặt đất
[color=#9e6404]相关工作：[/color]\n扫地	[color=#9e6404]Công việc liên quan: [/color]\nQuét rác
[color=#9e6404]相关工作：[/color]\n烹饪\n搬运烹饪原料	[color=#9e6404]Công việc liên quan: [/color]\nNấu nướng\nVận chuyển nguyên liệu nấu nướng
[color=#9e6404]相关工作：[/color]\n劈柴\n搬运劈柴原料\n砍伐树木\n割除植物	[color=#9e6404]Công việc liên quan: [/color]\nChẻ củi\nVận chuyển nguyên liệu chẻ củi\nChặt cây\nCắt thực vật
[color=#9e6404]相关工作：[/color]\n切石\n搬运切石原料\n手工制造\n搬运手工原料	[color=#9e6404]Công việc liên quan: [/color]\nCắt đá\nVận chuyển nguyên liệu cắt đá\nChế tạo thủ công\nVận chuyển nguyên vật liệu thủ công
[color=#9e6404]相关工作：[/color]\n屠宰\n狩猎\n探索	[color=#9e6404]Công việc liên quan: [/color]\nLàm thịt\nSăn bắt\nThăm dò
[color=#9e6404]相关工作：[/color]\n开采矿石	[color=#9e6404]Công việc liên quan: [/color]\nKhai thác khoáng thạch
[color=#9e6404]相关工作：[/color]\n灭火	[color=#9e6404]Công việc liên quan: [/color]\nDập lửa
[color=#9e6404]相关工作：[/color]\n收获植物\n种植植物	[color=#9e6404]Công việc liên quan: [/color]\nThu hoạch thực vật\nTrồng thực vật
[color=#9e6404]相关工作：[/color]\n上床休养	[color=#9e6404]Công việc liên quan: [/color]\nLên giường tịnh dưỡng
[color=#9e6404]相关工作：[/color]\n制作衣物\n搬运衣物原材料	[color=#9e6404]Công việc liên quan: [/color]\nChế tạo quần áo\nVận chuyển nguyên vật liệu may mặc
[color=#9e6404]相关工作：[/color]\n锻造物品\n搬运锻造原料	[color=#9e6404]Công việc liên quan: [/color]\nRèn đúc vật phẩm\nVận chuyển nguyên liệu rèn
[color=#9e6404]相关工作：[/color]\n治疗普通疾病\n制药	[color=#9e6404]Công việc liên quan: [/color]\nTrị liệu thương bệnh bình thường\nChế dược
筑工	Trúc công
照顾	Chăm sóc
苦力	Khuân vác
膳夫	Đầu bếp
木客	Mộc khách
猎户	Thợ săn
石工	Thạch công
救灾	Cứu tế
农人	Nông dân
休养	Tịnh dưỡng
衣匠	Thợ may
铁匠	Thợ rèn
郎中	Lang trung
筑基	Trúc cơ
木材	Mộc tài
木料	Mộc liệu
石头	Đá
石块	Khối đá
金属	Kim loại
植物	Thực vật
植物产物	Sản phẩm thực vật
食物原料	Nguyên liệu thực vật
肉类	Loại thịt
皮毛	Da lông
布	Vải
骨骼	Xương cốt
角料	Giác liệu
武器	Vũ khí
法宝	Pháp bảo
宝物	Bảo vật
披风	Áo choàng
衣服	Áo
裤子	Quần
食物	Đồ ăn
药物	Dược vật
灵丹	Linh đan
符咒	Phù chú
符纸	Phù chú
工具	Công cụ
金属锭	Kim chúc đĩnh
秘籍	Bí tịch
灵石	Linh thạch
垃圾	Cặn bã
其他	Cái khác
珀	Phách
正邪未明	Chính tà không rõ
正道魁首	Chính Đạo Khôi Thủ
正道中流	Chính Đạo Trung Lưu
名门正派	Danh Môn Chính Phái
亦正亦邪	Vừa chính vừa tà
邪门歪道	Tà Môn Ma Đạo
邪道砥柱	Tà Đạo Chỉ Trụ
魔门巨擘	Ma Môn Cự Phách
祖师殿	Tổ sư điện
坐北朝南	Ngồi bắc hướng về nam
炼宝阁	Luyện bảo các
坐西朝东	Ngồi tây hướng về đông
卧房	Phòng ngủ
炼丹房	Phòng luyện đan
厨房	Phòng bếp
坐东朝西	Ngồi đông hướng về tây
仓库	Nhà kho
坐南朝北	Ngồi nam hướng về bắc
工坊	Công xưởng
角色对外界的探查与反馈的能力，影响角色的视野，以及需要精细工作的效率等属性。	Năng lực dò xét cùng phản hồi đối với ngoại giới, ảnh hưởng tầm nhìn nhân vật, cùng hiệu suất thuộc tính của công việc cần sự tinh tế.
角色身体的强度，影响角色的寿命，抗寒抗热，以及与体力相关的效率等属性。	Sức chống đỡ của nhân vật, ảnh hưởng nhân vật tuổi thọ, chống đỡ lạnh chống đỡ nóng, cùng với hiệu suất của các thuộc tính có liên quan đến thể lực.
角色获取他人好感的能力，包括外在容貌与内在气质，影响角色的社交能力。	Năng lực thu hoạch hảo cảm của người khác, bao gồm dung mạo bên ngoài cùng khí chất bên trong, ảnh hưởng năng lực xã giao.
角色思考的能力，影响角色的学习速度等属性。	Năng lực suy nghĩ, ảnh hưởng tốc độ học tập của nhân vật.
角色受上天眷顾的程度，影响角色概率相关的属性。	Mức độ nhân vật được trời cao chiếu cố, ảnh hưởng các thuộc tính liên quan đến xác suất.
角色在修炼上的潜在能力。潜力与角色的年龄与个人经历有关，一旦进入内门就会锁定，无法被改变。	Năng lực tiềm ẩn trên diện tu luyện của nhân vật. Tiềm lực có liên quan đến tuổi tác và kinh lịch cá nhân của nhân vật, một khi tiến vào nội môn sẽ bị khóa , không cách nào thay đổi.
灵气	Linh khí
历练值	Chỉ số lịch luyện
领悟值	Chỉ số lĩnh ngộ
修为	Tu vi
寿元	Thọ
任意	Tùy ý
皮肉	Da thịt
器官	Bộ phận
(吃饭)	(ăn cơm)
(练功)	(luyện công)
(睡觉)	(ngủ)
无	Không
练气期	Luyện Khí Kỳ
结丹期	Kết Đan Kỳ
金丹期	Kim Đan Kỳ
元神期	Nguyên Thần Kỳ
在世真仙	Tại thế chân tiên
练习御物	Luyện tập ngự vật
练习功法	Luyện tập công pháp
炼制法宝	Luyện chế pháp bảo
练习术法	Luyện tập thuật pháp
进行调心	Tiến hành điều tâm
练习护体	Luyện tập hộ thể
炼制丹药	Luyện chế đan dược
男人	Nam nhân
女人	Nữ nhân
修炼	Tu luyện
过往	Qua lại
美景	Cảnh đẹp
动物	Động vật
功法	Công Pháp
厨艺	Trù nghệ
农事	Đồng án
玄学	Huyền học
邪教	Tà giáo
正派	Chính phái
秘密	Bí mật
天气	Khí trời
门派	Môn phái
阵法	Trận pháp
昨天	Hôm qua
爱好	Yêu thích
猫	Mèo
狗	Chó
早饭	Điểm tâm
金	Kim
木	Mộc
水	Thủy
火	Hỏa
土	Thổ
混元	Hỗn Nguyên
心境崩溃	Tâm cảnh sụp đổ
心境不稳	Tâm cảnh bất ổn
心境中正	Tâm cảnh công chính
心境圆润	Tâm cảnh êm dịu
心境通明	Tâm cảnh sáng suốt
心境无暇	Tâm cảnh vô hạ
弟子	Đệ tử
精英	Tinh anh
长老	Trưởng lão
\n温度不适	\nNhiệt độ không hợp
\n灵气不适	\nKhông đủ linh khí
\n肥沃不适	\nKhông đủ màu mỡ
\n季节不适	\nMùa màng không hợp
\n五行不适	\nNgũ hành không hợp
\n灵气不足	\nLinh khí không đủ
无滤镜	Không lọc
岁月	Năm tháng
铭记	Ghi khắc
幽冥	Âm u
水墨	Nước mực
人间	Nhân gian
红尘	Hồng trần
缥缈	Phiêu miểu
古卷	Sách cổ
日升	Mặt trời lên cao
夏意	Hạ ý
妙趣	Diệu thú
[{0}](禁止)	[{0}](cấm đoán)
(热爱)	(nhiệt tình)
(着迷)	(say mê)
[{8}]{6}\n能力评分:{0:N0}/{1:N0}({9:N0}%)\n\t等级:{2}/{11}({5})\n\t经验:{3}{4}\n{7}\n\n{10}	[{8}]{6}\nĐánh giá năng lực:{0:N0}/{1:N0}({9:N0}%)\n\tĐẳng cấp:{2}/{11}({5})\n\tKinh nghiệm:{3}{4}\n{7}\n\n{10}
{0:F0}秒	{0:F0}giây
{0:F0}天	{0:F0}ngày
({0:F1}天)	({0:F1}ngày)
{0}的{1}	{1}trong số{0}
采集或者历练	Thu thập hoặc lịch luyện
<font color=#B65704>可选主材料(或):\n</font>	<font color=#B65704> Có thể chọn nguyên liệu chính (hoặc):\n</font>
[color=#FF0000](无库存)[/color]\n[color=#604343]来源：{0}[/color]	[color=#FF0000](Không tồn kho)[/color]\n[color=#604343]khởi nguồn:{0}[/color]
<font color=#B65704>必须材料:\n</font>	<font color=#B65704> Nguyên liệu cần thiết:\n</font>
神乎其技	Thần hồ kỳ kỹ
大师	Đại sư
精通	Tinh thông
入门	Nhập môn
外行	Người thường
她的	Nàng
他的	Hắn
她	Nàng
他	Hắn
大吉	Đại cát
吉	Cát
小吉	Tiểu cát
小凶	Tiểu hung
凶	Hung
大凶	Đại hung
仙家洞天	Tiên gia động thiên
修行宝地	Bảo địa tu hành
灵秀之地	Linh tú chi địa
冲煞之所	Trùng sát nơi này
逆运之局	Nghịch vận chi cục
九幽绝地	Cửu u tuyệt địa
山寨	Sơn trại
洞天	Động thiên
精品	Tinh phẩm
优秀	Ưu tú
一般	Phổ biến
糟糕	Hỏng bét
无品质	Không có phẩm chất
华丽	Hoa lệ
精美	Tinh xảo
普通	Thông thường
丑陋	Xấu xí
圣物	Thánh vật
神物	Thần vật
灵物	Linh vật
凡物	Phàm vật
土壤肥沃	Đất đai phì nhiêu
土壤丰饶	Đất đai màu mỡ
土壤良质	Đất đai tốt
土壤贫瘠	Đất đai bạc màu
宛如仙境	Tựa như tiên cảnh
景色绝美	Cảnh sắc tuyệt mỹ
景观优美	Cảnh sắc ưu mỹ
景观不错	Cảnh sắc không tệ
环境平常	Môi trường bình thường
环境脏乱	Môi trường bẩn thỉu
环境恶劣	Môi trường tồi tệ
极热	Cực nhiệt
炎热	Nóng bức
温度适宜	Nhiệt độ thích hợp
寒冷	Lạnh giá
极寒	Cực hàn
刺眼	Chói mắt
晃眼	Chói mắt
光线适宜	Ánh sáng thích hợp
昏暗	Lờ mờ
漆黑	Đen kịt
卓越	Trác việt
擅长	Am hiểu
中庸	Trung dung
勉强	Miễn cưỡng
不擅	Không tự ý
巨大	Cực đại
大	Đại
中	Trung
小	Tiểu
拥挤	Chen chúc
恰当	Thích hợp
空旷	Trống trải
豪华	Xa hoa
精致	Tinh tế
简陋	Thô sơ
美轮美奂	Lộng lẫy
满目凋敝	Khó khăn trước mắt
不为人知	Không ai biết tên
籍籍无名	Chẳng có tên tuổi
素门凡流	Tố Môn Phàm Lưu
略有耳闻	Có nghe sơ sơ
小有名气	Có chút danh tiếng
初见江湖	Sơ kiến giang hồ
名声渐传	Danh tiếng dần truyền
广为人知	Quảng vi nhân tri
大名鼎鼎	Đại danh đỉnh đỉnh
闻名遐迩	Văn Danh Hà Nhĩ
名扬天下	Danh dương thiên hạ
声震寰宇	Thanh chấn thiên hạ
百年流传	Trăm năm truyền lưu
名震千古	Danh chấn thiên cổ
旷古绝今	Xưa nay chưa từng có
万载留名	Lưu danh vạn năm
灵性澎湃	Linh tính dâng trào
灵性充沛	Linh tính dư thừa
灵性隐隐	Linh tính mơ hồ
煞性隐隐	Sát tính mơ hồ
煞性凝练	Sát tính cô đọng
煞性凌冽	Sát tính lăng liệt
自身生长速度很慢，对周边环境产生极大的正面增益。	Tốc độ sinh trưởng rất chậm , tạo ra cực nhiều lợi ích tích cực cho môi trường xung quanh.
自身生长速度较慢，对周边环境产生较大的正面增益。	Tốc độ sinh trưởng khá chậm , tạo ra khá nhiều lợi ích tích cực cho môi trường xung quanh.
自身生长速度略慢，对周边环境产生略微的正面增益。	Tốc độ sinh trưởng hơi chậm , tạo ra một chút lợi ích tích cực cho môi trường xung quanh.
自身生长速度略快，对周边环境产生略微的负面影响。	Tốc độ sinh trưởng hơi nhanh, tạo ra một chút tiêu cực cho môi trường xung quanh.
自身生长速度较快，对周边环境产生较大的负面影响。	Tốc độ sinh trưởng khá nhanh, tạo ra khá nhiều tiêu cực cho môi trường xung quanh.
自身生长速度很快，对周边环境产生极大的负面影响。	Tốc độ sinh trưởng rất nhanh, tạo ra rất nhiều tiêu cực cho môi trường xung quanh.
空	Không
鼎炉潜力尚未开发，炼精化气效率极高。	Đỉnh lô Tiềm lực chưa khai phát, luyện tinh hóa khí hiệu suất Cực cao.
始	Bắt đầu
鼎炉潜力开发伊始，炼精化气效率较高。	Đỉnh lô Tiềm lực khai phát bắt đầu, luyện tinh hóa khí hiệu suất tương đối cao.
鼎炉潜力开发泰半，炼精化气效率正常。	Đỉnh lô Tiềm lực khai phát hầu hết, luyện tinh hóa khí hiệu suất Bình thường.
盈	Doanh
鼎炉潜力几尽枯竭，炼精化气效率较慢。	Đỉnh lô Tiềm lực mấy tận khô kiệt, luyện tinh hóa khí hiệu suất chậm chạp.
满	Mãn
鼎炉潜力开发至极限，需结丹以突破鼎炉之限。	Đỉnh lô Tiềm lực khai phát đến cực hạn, cần Kết đan với Đột phá đỉnh lô thời hạn.
略有灵韵	Có chút linh vận
灵韵天生	Linh vận trời sinh
灵韵澎湃	Linh vận dâng trào
任意大小的	Khổ to nhỏ bất kỳ
极小的	Cực nhỏ
狭小的	Nhỏ
大小适中的	Khổ vừa phải
宽大的	Rộng rãi
极大的	Cực lớn
极小	Cực nhỏ
狭小	Nhỏ hẹp
适中	Vừa phải
宽大	Rộng lớn
极大	Cực lớn
金属性	Kim thuộc tính
木属性	Mộc thuộc tính
水属性	Thủy thuộc tính
火属性	Hỏa thuộc tính
土属性	Hệ Thổ
混元属性	Hệ Hỗn nguyên
极其利于	Cực kỳ có lợi cho
特别利于	Đặc biệt có lợi cho
较为利于	Khá có lợi cho
稍微利于	Hơi có lợi cho
位于墙角	Ở góc tường
三面为墙	Ba phía là tường
贴墙而放	Đặt kế tường
不贴墙	Không kề tường
位于门旁	Ở bên cạnh
位于床第蒲团之侧	Bên cạnh giường bồ đoàn
位于祖师牌位之侧	Bên cạnh bài vị tổ sư
位于工坊台案之侧	Bên cạnh bàn, xưởng hoặc án
位于炼宝台之侧	Bên cạnh đài luyện bảo
位于炼丹炉之侧	Bên cạnh lò luyện đan
位于炉灶之侧	Bên cạnh bếp
远离床第蒲团	Tránh xa giường bồ đoàn
远离祖师牌位	Tránh xa bài vị tổ sư
远离工坊台案	Tránh xa bàn, xưởng hoặc án
远离炼宝台	Tránh xa đài luyện bảo
远离炼丹炉	Tránh xa lò luyện đan
远离炉灶	Tránh xa bếp
初始化..	Khởi tạo..
最后的准备.	Chuẩn bị cuối cùng.
    天苍历245年，腊月。\n立派于月轮山的正道门派太一门，突遭外敌入侵。太一门掌教虽临阵突破金丹，但却在追击敌人时身陷绝龙阵，最终陨落。\n是夜，太一门满门尽灭。仅有数名外门弟子在传功长老的帮助下逃出山门……	  Thiên Thương Lịch năm 245, tháng chạp.\nChính đạo môn phái Thái Nhất Môn lập phái tại Nguyệt Luân Sơn, đột nhiên bị kẻ thù xâm lấn. Chưởng giáo Thái Nhất Môn lúc lâm trận mặc dù đột phá Kim Đan, nhưng dưới sự truy kích của địch nhân liền thân hãm Tuyệt Long Trận, cuối cùng vẫn lạc.\nđêm đó, Thái Nhất Môn bị tẫn diệt. Vẻn vẹn có mấy danh Đệ tử ngoại môn tại truyền công trưởng lão Giúp đỡ hạ chạy ra sơn môn...
选择存档	Lựa chọn Lưu trữ
今天的{0:N0}点	Hôm nay{0:N0}điểm
{0:N0}个小时后	{0:N0}mấy tiếng sau
{0}天后的{1:N0}点	{0}Ngày sau{1:N0}điểm
微乎其微	Cực kỳ thấp
{0}成	{0}thành
读取存档	Đọc lưu trữ
抱歉，WeGame异常导致游戏即将退出。	Xin lỗi, WeGame Khác thường sẽ dẫn đến việc trò chơi bị thoát ra.
是否确定退出游戏	Phải chăng Xác định Rời khỏi trò chơi
上个存档正在写入，目前还不能再次存档。	Đang ghi vào lưu trữ trước, hiện chưa thể tiếp tục lưu trữ.
神秘人	Người thần bí
它的	Nó
它	Nó
晴天	Trời trong
空地	Đất trống
上的	Ở phía trên
载入配置	Đang tải thiết lập
初始化游戏数据失败，游戏将不能正常运行。请检查数据完整性和确认模组数据正确。\n依然要进入吗？	Khởi tạo dữ liệu trò chơi thất bại , không thể vận hành trò chơi bình thường. Xin hãy kiểm tra dữ liệu hoàn chỉnh và xác nhận chính xác dữ liệu bản mod.\nVẫn muốn tiến vào chứ ?
资源加载(1/2)..	Đang tải tài nguyên  (1/2)..
资源加载(2/2)..	Đang tải tài nguyên  (2/2)..
初始化{0}..({1}/{2})	Khởi tạo{0}.. ({1}/{2})
自动存档..	Tự động lưu trữ..
存档中...	Đang lưu trữ...
存档	Lưu trữ
存档完毕！	Lưu trữ hoàn tất!
记录世界	Ghi chép thế giới
准备数据	Chuẩn bị số liệu
写入数据	Ghi số liệu
即将完成	Sắp hoàn thành
非常抱歉！存档失败。\n愤怒的您可能会责怪开发团队，您的确有理由这样做，这本不应该发生。\n我们非常抱歉！请尝试读取旧的存档。\n如果需要支持或者报告问题，请发送邮件至:QA@GSQStudio.com。	Vô cùng thứ lỗi! Lưu trữ không thành công.\nTrong lúc tức giận bạn có thể sẽ trách cứ nhà phát triển, bạn quả thật có lý do để làm vậy, chuyện này vốn không nên xảy ra.\nChúng tôi vô cùng xin lỗi! Xin hãy thử đọc lưu trữ cũ.\nNếu như cần giúp đỡ hoặc báo lỗi, Xin hãy gửi email đến:QA@GSQStudio. com.
读取存档文件	Đọc tài liệu lưu trữ
载入数据:{0}/{1}	Tải dữ liệu:{0}/{1}
逆转因果，有干天和。已无法在真仙模式下使用。\n(你已经离开真仙模式)	Nghịch chuyển nhân quả, có kiền thiên hòa. Đã vô pháp tiếp tục chế độ Chân Tiên.\n(Bạn đã thoát khỏi chế độ Chân Tiên)
子时,子夜时分,三更时分,夜半时分,夜深之时,万籁俱静	Giờ tý, Lúc giữa đêm, Lúc canh ba, Lúc đêm khuya, Lúc đêm dài, Vạn vật yên tĩnh
丑时,鸡鸣时分,四更时分,星垂夜阔,西月微斜	Giờ sửu, Lúc gà gáy, Lúc canh bốn, Đêm đến trăng tỏa, Ánh trăng dần mờ
寅时,黎明时分,平旦之时,五更时分,月沉西落,东方渐白	Giờ dần, Lúc bình minh, Lúc tờ mờ sáng, Canh năm, Trăng lặn về tây, Phía đông dần sáng
卯时,日出时分,破晓时分,日始时分,清晨初雾,晨光初露	Giờ mão, Lúc mặt trời mọc, Lúc rạng sáng, Ngày mới bắt đầu, Sương mù sáng sớm, Nắng sớm vừa lên
辰时,早食之刻,日初之时,生气苏始	Giờ thìn, Thời gian ăn sáng, Ngày mới, Sinh khí bắt đầu
巳时,日禺之时,隅中时分	Giờ tỵ, Mặt trời dần lên, Thời điểm giữa ngày
午时,日中之时,正午之时,响午时分	Buổi trưa, Lúc giữa trưa, Lúc giữa trưa, Thời gian nắng gắt
未时,日央之刻,日昳时分,日斜心慵	Giờ mùi, Mặt trời lên cao, Mặt trời dần xuống, Mặt trời ngả bóng
申时,夕食之刻,日闲之时,响午之后	Giờ thân, Lúc dùng bữa chiều, Lúc trời nhàn rỗi, Sau giờ nắng gắt
酉时,日落时分,日沉之刻,傍晚时分,暮色怅晚,鸟倦云舒	Giờ dậu, Lúc mặt trời lặn, Mặt trời lặn, Trời chạng vạng tối, Gần lúc hoàng hôn, Chim bay về tổ
戌时,黄昏时分,日夕之刻,日暮时分,起更之时,华灯初上	Giờ tuất, Lúc hoàng hôn, Lúc nhật tịch, Thời điểm hoàng hôn, Thời điểm canh một, Đèn mới sáng lên
亥时,人定之时,二更时分,夜深人静,月上柳梢,夜幕深沉	Giờ hợi, Đêm đến người an yên, Thời điểm canh hai, Đêm khuya vắng lặng, Trăng treo đầu liễu, Màn đêm thâm trầm
舒服	Thoải mái
开心	Hài lòng
工作	Công việc
在工作之时，正感觉有点无聊	Trong lúc làm việc, cảm thấy có chút buồn chán
在工作之时，突然心有所感	Trong lúc làm việc, đột nhiên trong lòng có rung động
在工作间余，刚小憩片刻	Giữa lúc làm việc, nghỉ ngơi một chốc lát
在工作之时，突觉莫名伤心	Trong lúc làm việc, không hiểu sao thấy buồn quá
在工作之时，正累的气喘吁吁	Trong lúc làm việc, mệt mỏi thở hồng hộc
在工作时，突然走神	Trong lúc làm việc, đột nhiên thất thần
在工作时略有所得，正喜上眉梢	Trong lúc làm việc thì có giác ngộ, vui vẻ nhướng mày
工作不顺，觉得有点灰心	Công việc không thuận, cảm thấy có chút nản lòng
正专心工作	Đang chuyên tâm làm việc
无心工作，正想偷懒	Không có tâm trạng làm việc, đang muốn lười biếng
刚在工作时走了走神	Vừa mới làm việc đã thất thần
工作时仿佛犯冲，正感觉有点生气	Làm việc như phạm xung, đang cảm thấy bực mình
正在乐呵呵的工作中	Đang vui tươi hớn hở làm việc
施展神通	Thi triển thần thông
练功	Luyện công
意兴阑珊的准备开始今天的筑基功课	Mất hết hào hứng, chuẩn bị bắt đầu công khóa trúc cơ hôm nay
热身结束，刚准备开始筑基	Làm nóng người xong, chuẩn bị bắt đầu trúc cơ
在筑基之时，正感觉有点无聊	Trong lúc trúc cơ, cảm thấy có chút buồn chán
在筑基之时，突然心有所感	Trong lúc trúc cơ, đột nhiên trong lòng có rung động
在筑基间余，刚小憩片刻	Giữa lúc trúc cơ, nghỉ ngơi một chốc lát
在筑基之时，突觉莫名伤心	Trong lúc trúc cơ, không hiểu sao thấy buồn quá
在筑基时突然走神	Tại lúc trúc cơ đột nhiên thất thần
在筑基时略有所得，喜上眉梢	Trong lúc trúc cơ thì có giác ngộ, vui vẻ nhướng mày
筑基不顺，觉得有点灰心	Trúc cơ không như ý, cảm thấy có chút nản lòng
正专心筑基	Đang chuyên tâm trúc cơ
无心筑基，正想偷懒	Không có tâm trạng trúc cơ, đang muốn lười biếng
筑基时处处受挫，正感觉有点生气	Trong lúc trúc cơ gặp cản trở, đang cảm thấy bực mình
正懒懒散散的筑基中	Đang lười trúc cơ
觉得筑基艰难，正有点灰心	Cảm thấy trúc cơ khó khăn, Đang cảm thấy nản chí
正在为筑基困扰	Đang vì chuyện trúc cơ mà phiền não
筑基时走岔了气，正准备休息一下	Trúc cơ đi lệch, chuẩn bị nghỉ ngơi một lát
正在筑基	Đang trúc cơ
练功筑基许久，正累的气喘吁吁	Rèn luyện trúc cơ một lúc, mệt mỏi thở hồng hộc
结束今天的筑基功课，刚准备擦擦汗	Kết thúc bài học trúc cơ ngày hôm nay, Chuẩn bị lau  mồ hôi
刚结束今天的筑基功课	Vừa hoàn thành khóa trúc cơ hôm nay
刚完成筑基，正觉得有点意犹未尽	Vừa hoàn thành trúc cơ, đang cảm thấy có chút chưa hết dư vị
突破	Đột phá
准备突破瓶颈	Chuẩn bị đột phá bình cảnh
突破瓶颈前，正觉得有点心神不宁	Trước lúc đột phá bình cảnh, Cảm thấy tâm thần có chút không tập trung
信心满满，正准备突破瓶颈	Tràn đầy lòng tin, chuẩn bị đột phá bình cảnh
突破结束，正感慨大道难测	Đột phá kết thúc, đang cảm khái đại đạo khó dò
打坐修行	Đả tọa tu hành
刚准备开始修行	Vừa chuẩn bị bắt đầu tu hành
平心静气，准备修行	Bình tâm tĩnh khó, chuẩn bị tu hành
打坐修行许久，正准备休息一下	Đả tọa tu hành hồi lâu, chuẩn bị nghỉ ngơi một lát
此次修行大有所获，正感欣喜	Lần tu hành này có rất nhiều thu hoạch, đang cảm thấy mừng rỡ
修行时总觉得心神不宁，正打算缓缓	Lúc tu hành cứ cảm thấy tâm thần không an, đang định trì hoãn
修炼时无法静心，刚走了会神	Không cách nào tĩnh tâm tu luyện, vừa luyện đã thất thần
在修行之时，正感觉杂念丛生	Trong lúc tu hành, cảm thấy tạp niệm bộc phát
被突然的悲伤打断了修行	Đột nhiên bi thương cắt ngang mạch tu hành
在修行时略有所得，正略感欣喜	Trong lúc tu hành có được một chút giác ngộ, cảm thấy mừng rỡ
修行不顺，觉得有点灰心	Tu hành không thuận, cảm thấy có chút nản lòng
正专心修行	Đang chuyên tâm tu hành
无心修行，正想偷懒	Không có tâm trạng tu hành, đang muốn lười biếng
刚在修行时走了走神	Vừa mới tu hành đã thất thần
修行时杂念频起，正感觉有点生气	Lúc tu hành tạp niệm liên tiếp dâng lên, đang cảm thấy bực mình
刚完成今天的修行	Vừa hoàn thành tu hành của ngày hôm nay
今天的修行结束，正感觉神完气足	Tu hành hôm nay đã kết thúc, cảm thấy thần hoàn khí túc
闲来无事，准备练习秘法	Rảnh rỗi quá, chuẩn bị luyện tập bí pháp
准备好仪轨符具，准备练习秘法	Hoàn thành nghi thức phù cụ, chuẩn bị luyện tập bí pháp
