ID	Name	Desc
19	Thiết tượng nhi đồng công	[NAME] Từ nhỏ bị bán cho tiệm thợ rèn làm culi, [IT] lớn lên cùng những tiếng đinh đinh beng beng, khát vọng lớn lên trở thành thợ rèn thật sự.
20	Thủy hàu tử	[NAME] Là đứa trẻ lớn lên trên tàu đánh cá, [IT] Từ nhỏ đã thích nước. Trải qua tuổi thơ như vậy cũng làm cho [IT] có được thân thủ mạnh mẽ.
21	Thiên tài âm luật	[NAME] Sinh ra ở gia đình nhạc công, [IT] Kế thừa gen ưu tú, có được thiên phú nghệ thuật phi thường xuất sắc.
22	Tà ma chi tử	[NAME] Mẫu thân bị tà ma lừa tình, cho nên mang thai sinh ra [IT]. [IT] trong cơ thể có một nửa là huyết mạch tà ma, việc này khiến [IT] tướng mạo khó coi, chịu hết kỳ thị.
23	Sinh hiển dị tượng	[NAME] Sinh ra đã nắm giữ số kiếp của thế giới, giữa thiên địa phong vân dũng động, kim quang lấp lóe, đêm cũng như ngày. [IT] Chú định nhận trời cao chiếu cố.
24	Sát tinh hàng thế	[NAME] Là Thất Sát Tinh trên trời chuyển thế, trời sinh là vì giết chóc và chiến đấu.
25	Kỳ tài ngút trời	[NAME] Thông minh tuyệt thế, là kỳ tài ngút trời. Vô luận học cái gì, [IT] đều có thể tinh thông rất nhanh. Nhưng mà [IT] Nhưng lại thiên sinh khiếm khuyết, Kinh mạch không hoàn chỉnh, vô pháp tu hành.
26	Mục đồng	[NAME] Từ nhỏ chăn nuôi cho nhà địa chủ. Nhưng [IT] Luôn cảm thấy vận mệnh đối với mình không công bằng, [IT] Phải làm ra được một sự nghiệp lớn hơn nữa.
27	Tàn nhưng không phế	[NAME] Trời sinh trí lực tương đối thấp, 5 tuổi mới có thể nói, 10 tuổi mới có thể đi, có thể coi là chuyên tâm mười phần. Nhưng mà [ITS] Phụ mẫu vẫn luôn đối [IT] tràn đầy kiên nhẫn. \n[NAME] mặc dù rất ngu, nhưng hắn cảm thấy tràn đầy hứng thú với mọi chuyện, [IT] nguyện nỗ lực hơn rất nhiều người khác để học được nên làm như thế nào.
28	Tiểu khất cái	[NAME] Từ nhỏ bị vứt bỏ, được bang ăn mày nhặt được nuôi lớn. Tòng [IT] từ lúc hiểu chuyện đến nay, [IT] đi theo mọi người ăn xin để sống. \n Cuộc sống ăn mày khiến [IT] hiểu được nhân thế lạnh lùng, cũng khiến cho [IT] Đặc biệt giỏi phán đoán lòng người.
29	Người nhặt vỏ sò	[NAME] Lớn lên tại làng chài nghèo khó ven biển, [ITS] tuổi thơ thiếu vui chơi, việc thích nhất chính là thu thập vỏ sò ở bờ biển.
30	Tiểu gián diệp	[NAME] Tướng mạo tú lệ đáng yêu, bị triều đình chọn trở thành gián điệp chính trị, đưa đến thủ đô địch quốc điều tra tình báo. \n Lúc huấn luyện, [IT] chú trọng học tập che giấu thủ đoạn và kỹ xảo nghe trộm, đồng thời bị nhồi nhét tư tưởng một khi bị phát hiện phải hy sinh vì tổ quốc.
31	Địa chủ hài tử	[NAME] Sinh ở gia đình địa chủ, từ nhỏ tứ chi không dùng - ngũ cốc cũng không biết phân biệt. \n[IT] Từ nhỏ đã phát sinh quan hệ với nha hoàn trong nhà, đồng thời thích thú, việc này khiến [IT] Thân thể vốn đã yếu lại càng thêm suy yếu.
32	Nhóc bán hoa	[NAME] phụ mẫu có kinh doanh một tiệm hoa tại nhà. Tại [IT] Khi hiểu chuyện liền thường xách theo lẵng hoa giúp phụ mẫu bán hoa. Thường xuyên kết giao với người khác khiến cho [IT] trở nên hoạt bát và hướng ngoại, mà lại rất có mị lực.
33	Sung sướng lúc nhỏ	[NAME] Phụ mẫu là hậu duệ của chi thứ một gia đình giàu có. [ITS] phụ mẫu đều yên ổn an phận, mặc dù không có hy vọng kế thừa gia nghiệp nhưng cũng nhàn hạ vui vẻ, không lo ăn mặc. \n Vì vậy, [NAME] Từ nhỏ được phụ mẫu làm bạn chơi đùa bốn phía, trải qua một tuổi thơ vui vẻ.
34	Con hoang	[NAME] Sinh ra ở một cái sơn thôn, [ITS] Vì nạn sói mà từ nhỏ đã mất phụ mẫu. \n[IT] từ nhỏ ăn cơm trăm nhà mà lớn lên, không người chiếu cố, cả này lăn lộn đầu thôn sơn dã. Bởi vì thân thế, [IT] từ nhỏ khuyết thiếu bằng hữu, chỉ làm bạn cùng một con đại hắc cẩu đầu thôn.
35	Tửu Đồng	[NAME] Gia cảnh bần hàn, [IT] vậy từ nhỏ bị phụ mẫu đuổi đến Trấn  ở phía trên tửu quán Khi Tửu Đồng phụ cấp gia dụng. \n Trong tửu quán có nhiều đệ tử lưu linh, thường thường đối [IT] trách móc đánh chửi nặng nề, có một lần [IT] bị một khách uống rượu đánh gãy chân.
36	Con nhà nông	[NAME] Nhà lấy nghề nông mà sống, [IT] Từ nhỏ bị phụ mẫu đưa đến ruộng để thuận tiện chăm sóc. Vì vậy [IT] mưa dầm thấp đất biết rõ kiến thức cùng kỹ thuật gieo trồng.
37	Con nhà nông	[NAME] Có phụ thân là tá điền nhà địa chủ. Phân cho một mảnh ruộng cùng mấy con heo. Tại [IT] Bảy tám tuổi liền theo phụ thân đến ruộng làm việc, phụ thân trồng trọt, [IT] còn nó đi thu thập rau dại cỏ khô, để nuôi gia súc. \n Có một lần lúc cho heo ăn, [IT] không có chú ý, bị heo cắn đứt một ngón tay.
38	Con nhà nông	[NAME] Gia đình là điền bộc nhà địa chủ. [ITS] Phụ thân bởi vì mệt nhọc quá độ mà thân thể suy nhược, không cách nào giao thóc đúng hạn, rơi vào đường cùng chỉ có thể đem [IT] bán thế chấp nợ nần. \n[NAME] Người bán đối với [IT] trách móc nặng nề, cả ngày dùng việc nặng bóc lột [ITS] Cơ thể còn nhỏ.
39	Tướng môn hổ tử	[NAME] Tổ tiên ba đời làm tướng, [IT] từ nhỏ trải qua huấn luyện cùng học tập khắc khổ, được gia đình đặt kỳ vọng cao. \n[ITS] Tuổi thơ có một nửa thời gian trải qua tại quân doanh, việc này khiến [IT] từ trong xương cốt lộ ra vẻ sắt thép.
40	Gia đình quân nhân	[NAME] Mẫu thân mất sớm, phụ thân là bách biến lão binh sống sót trên chiến trường viễn trinh phương tây. Sau khi chiến sự yên ổn, [ITS] Phụ thân hồi quân đảm nhiệm giáo đầu, [IT] đi theo phụ thân sống lâu trong quân doanh. \n trong một lần trấn áp tà giáo quy mô nhỏ, [IT] đi theo phụ thân thấy được một chút pháp thuật thần kỳ, mặc dù chỉ là trò vặt bậc nhập môn, lại việc này khiến [IT] tràn ngập hiếu kỳ đối với tu hành.
41	Lang hài	[NAME] Được một con sói cái nuôi dưỡng lớn lên, tại [IT] lúc năm tuổi được người phát hiện bên trong ổ sói. Tuổi thơ cùng sói làm bạn khiến cho [IT] cảm thấy xa cách với nhân loại, thậm chí tốn mấy năm trời cũng không thể nói chuyện bình thường.
42	Quý tộc hết thời	[NAME] Nhà từng là kiến trúc thế gia vang danh khắp chốn. Bởi vì dính dáng đến sự kiện dư nghiệt tiền triều làm loạn mà bị xét nhà. Ở trên đường đi đày, phụ thân không chịu nổi tra tấn mà qua đời. Cuộc sống cứ thế biến đổi khiến cho [IT] trở nên tự ti và hướng nội.
43	Cô nhi	[NAME] Là cô nhi, [IT] Du tẩu xó xỉn hẻo lánh âm u tại thành thị, dùng ăn xin và trộm cắp để sinh sống. \n Lâu dài lang thang sinh hoạt khiến cho [ITS] thần kinh vô cùng mẫn cảm, hơn nữa không cách nào ngủ lâu.
44	Trẻ bị vứt bỏ	[NAME] Vừa ra đời liền bị vứt bỏ ở một đống rác. Được một người thu gom rác nhặt được, miễn cưỡng nuôi dưỡng. \n Điều kiện vệ sinh vô cùng tồi tệ khiến cho [IT] mắc một chứng bệnh đáng sợ, việc này khiến [ITS] tuổi thọ hao tổn nghiêm trọng.
45	Sơn thôn hài tử	[NAME] Sinh ra ở một cái sơn thôn, [ITS] Phụ mẫu cùng thôn dân vì tránh né chiến loạn mà chạy nạn đến đây. Vì vậy, tại [NAME] Từ nhỏ tiếp nhận giáo dục tại đó, đối với bạo lực cùng chiến tranh vô cùng bài xích. Việc này khiến [IT] trở thành một người chán ghét bạo lực.
46	Quân đội nhi đồng	[NAME] Là cô nhi nhặt được trên chiến trường. [ITS] Dưỡng phụ là Bách Phu Trưởng trong quân đội, [IT] Từ nhỏ đi theo người lớn huấn luyện, học được đều là những thuật pháp đoạt mệnh trên chiến trường. \n huấn luyện và giết địch lấp đầy [ITS] tuổi thơ, thẳng đến một ngày [IT] quân đội bị mai phục mà tan tác. May mắn sống sót [IT] Bắt đầu suy nghĩ ý nghĩa cuộc đời mình.
47	Tiền triều di cô	[NAME] Lớn lên trong một Tứ Hợp Viện, mỗi ngày đọc sách cùng những đứa trẻ chung quanh, chơi đùa, làm việc giúp người lớn. \n Chỉ là mọi người không biết, [ITS] thân phận thực sự của hắn là hoàng tử tiền triều, vẫn luôn yên lặng chờ đợi nghĩa quân tới đón [IT] phục hồi hoàng triều.
48	Người sống sót	[NAME] Là người sống sót ở một trận đại đồ sát. Khi [IT] lúc tỉnh lại trong thành trấn là xác người biển máu, hết thảy ở trước mắt trở thành [IT] cơn ác mộng ám ảnh cả đời.
49	Kém cỏi bẩm sinh	[NAME] Phụ mẫu là huynh muội ruột thịt, Vì vậy [IT] sinh ra liền kém cỏi. Việc này khiến [IT] Trời sinh cơ thể yếu đuối, mà đời lại còn dài.
50	Trưởng thành sớm	[NAME] Gia cảnh sung túc, lại có vẻ đẹp bẩm sinh. Từ nhỏ thì đã được khác phái chào đón [IT] bởi vậy đặc biệt trưởng thành sớm, có thể thành thạo nắm chắc khoảng cách giữa người và người.
51	Trẻ lang thang	[NAME] phụ thân lỡ tay giết con của ác bá địa phương, vì tránh né trả thù, đành phải mang theo thê tử bước lên con đường lưu vong. \n[NAME] Từ nhỏ ký ức chính là bôn ba bữa no bữa đói.
52	Trộm nhí	[NAME] Vì sinh tồn, không thể không làm một vài chuyện lén lút, nhưng vẫn chưa mất lương tâm. \n[IT] Rất ít trộm nhà nghèo khổ, cũng thường hay đem chia những thứ trộm được [IT] Khi còn nhỏ.
53	Tiểu đạo tặc	[NAME] là thành viên một nhóm trộm cắp. Bởi vì [IT] nhỏ tuổi mà còn tay chân vụng về, thường xuyên bị thành viên khác ghét bỏ đánh chửi, bọn hắn đem [IT] ở lại sào huyệt phụ trách hậu cần. \n Cũng chính vì thế, tại một lần triều đình nghiêm trị, [IT] may mắn sống sót.
54	Trên lưng ngựa lúc nhỏ	[NAME] Là một đứa trẻ bộ lạc du mục. [IT] Từ nhỏ lớn lên trên lưng ngựa, đi theo bộ lạc rong ruổi thảo nguyên. \n Ngày bình thường, [IT] phụ trách nhặt phân và thu dọn chuồng ngựa, bất quá [IT] không thích những công việc này. [ITS] Mơ ước trở thành thợ săn mạnh nhất.
55	Con dâu từ bé	[NAME] Lúc nhỏ bị bán làm vợ cho nhi tử ngốc nhà địa chủ. Bởi vì dáng vẻ xinh đẹp, lại nhu thuận hiểu chuyện, rất được người yêu thích. \n Tại thời gian ở nhà địa chủ, [IT] nhận được huấn luyện tốt, nắm được không ít kỹ năng quản gia. Sau khi mưa dầm thấm đất, cũng dẫn đến nói năng nho nhã.
56	Đứa Bé chăn nuôi	[NAME] Sở sinh ở một bộ lạc bên cạnh Tây Hải. [IT] Cùng mấy tiểu đồng bọn khác chăn cừu cho bộ lạc. \n Bên cạnh nông trường có một tòa phế tích, truyền thuyết nói trong đó có ma quỷ quậy phá. [NAME] trong lúc chăn dê thường lẻn đi, một mình chạy tới thám hiểm phế tích.
57	Chiến loạn mồ côi	[NAME] Sinh ra tại một thành thị ở biên giới. Tại [IT] lúc còn rất nhỏ, ngoại tộc xâm lấn, tàn sát [IT] nơi sinh ra. [IT] may mắn sống sót. \n[IT] Từ nhỏ thề rằng, nhất định phải tòng quân chinh phạt dị tộc, báo thù rửa hận. Vì thế, [IT] Lấy ý chí mạnh mẽ hoàn thành từng hạng từng hạng mục huấn luyện khó khăn.
58	Trẻ nhặt ve chai	[NAME] Mất đi gia đình trong chiến loạn. Giống như những đứa trẻ khác, nhặt ve chai mà sống. \n[IT] Dánh người nhỏ gầy linh hoạt, thường thường trộm đi đến khu nhà giàu trong đống rác chọn lựa trân quý phế phẩm bán lấy tiền. Việc này khiến [IT] Sớm tích lũy đủ tiền, bái nhập một cửa hàng thủ công làm học đồ.
59	Phật tiền đồng tử	[NAME] Là đồng tử trong chùa miếu, phụ trách công việc cầm đèn trước Phật. Quanh năm suốt tháng nghe tụng kinh Phật khiến cho [IT] tràn đầy linh tính, cuộc sống ngăn cách thế sự làm cho [IT] tâm vô tạp niệm.
60	Tiểu đạo đồng	[NAME] Là đồng tử đạo quán, [IT] Từ nhỏ đi theo sư phụ sinh sống qua ngày, ngắm mây mưa và động tĩnh của cuộc sống. \n[IT] Thiên tư thông đĩnh, rất có tiềm năng, từ nhỏ tuổi đã đạt tới cảnh giới thiên nhân hợp nhất, mặc dù [IT] chẳng hề hay biết.
61	Tiểu sa di	[NAME] Là một tiểu sa di trong chùa. [IT] trời sinh hiếu động, lại phàm ăn, sinh hoạt kham khổ trong chùa khiến cho [IT] Thống Bất Dục Sinh. \n[IT] Ba lần bốn lượt muốn trốn ra khỏi chùa, nhưng đều bị võ tăng trong chùa bắt trở về.
62	Thần đồng thơ ca	[NAME] Người thông tuệ, có tài ăn nói, gặp qua là không quên. [IT] Ba tuổi làm đối, năm tuổi thành thơ, bảy tuổi liền dự thi đàn, được xưng là thần đồng. Triều chính văn nhân đều biết tên.
63	Ngoan đồng	[NAME] Khi còn bé đặc biệt nghịch ngợm. Là kẻ chọc giận người nổi danh tám làng mười dặm, vô luận là người lớn hay trẻ nhỏ [IT] đều cảm thấy đau đầu. \n có một lần [IT] Không phục quản giáo, trốn nhà rời đi, lạc đường trong núi. Nhưng [IT] thế mà không tim không phổi cùng hầu tử cùng một chỗ sinh sống nửa tháng Tài bị người trong nhà tìm tới.
64	Phản nghịch hài tử	[NAME] Có phụ thân là cổ giả, quản giáo từ nhỏ [IT] đặc biệt nghiêm. Việc này khiến [IT] trong lòng tràn đầy tinh thần chống đối, nghĩ trăm phương ngàn kế để chọc giận phụ thân. Vì thế [IT] cứ hai ba ngày là bị đánh một trận.
65	Hoạt bát nhi đồng	[NAME] Là đứa trẻ hướng ngoại mà hoạt bát. [IT] từ nhỏ đã không sợ người lạ, hơi lớn một chút càng biết ăn nói. [ITS] Nhanh mồm nhanh miệng khiến nhiều người lớn đều tỏ ra không chịu đựng nổi. \n[NAME] danh vọng rất cao ở đám trẻ xung quanh, thường xuyên dẫn đầu tụi nhỏ trên trấn lên núi xuống sông, gây chuyện thị phi.
66	Hướng nội từ nhỏ	[NAME] Từ nhỏ hướng nội. Trừ phụ mẫu thì không dám gặp ai [IT] Nhân . Mỗi khi có người tiếp cận [IT], [IT] liền vô cùng khẩn trương không biết làm thế nào. \n tại [IT] Lần đầu tiên đến trường tư thục, bởi vì một đồng học khác phái hướng [IT] ngỏ lời, [IT] vậy mà khẩn trương hôn mê tại chỗ.
67	Vật thí nghiệm tà thuật	[NAME] Từ nhỏ bị một tán tu tà phái bắt đi, bị xem như vật liệu dự phòng tu luyện tà thuật dùng yêu pháp phong ấn. \n Về sau tán tu kia bị nhân sĩ chính phái tru sát, [IT] mới được cứu ra. Nhưng bởi vì thời gian dài bị yêu pháp phong ấn, [ITS] thân thể bị tổn thương lớn.
68	Tiểu côn đồ	[NAME] có phụ thân là ác bá bản địa. [IT] Từ nhỏ đã làm những sự việc ức hiếp người hiền lương, cũng lấy thế làm vui. \n tại [IT] Thời điểm bảy tám tuổi, [IT] liền mượn [ITS] tiếng xấu của phụ thân gầy dựng một liên minh trẻ hư, thường xuyên kết bè hoành hành trong trấn, quần chúng rất chán ghét.
69	Thông linh nhi đồng	[NAME] Sinh ra một đôi Âm Dương Nhãn, có thể nhìn thấy thứ mà người thường không thể thấy. Nhưng mà năng lực này khiến [IT] quá sớm tiêu hao đại lượng nguyên khí. [IT] Thường xuyên sinh bệnh, vả lại thể chất suy yếu. \n tại [IT] Lúc mười tuổi gặp được một lang trung vân du bốn phương, người lang trung này thi triển châm cứu đem [ITS] Âm Dương Nhãn phong ấn, [ITS] thân thể mới dần dần khỏe mạnh.
70	Làm người khác ưa thích	[NAME] Có một loại thiên phú bẩm sinh, chính là cảm nhận tâm linh người khác. Việc này khiến [IT] có thể dễ như trở bàn tay thuận tâm tư của đối phương làm ra Nhất thích hợp ứng đối. \n tại [IT] lúc còn rất nhỏ, [IT] liền có thể vận dụng thuần thục năng lực này để chiếm được yêu thích của người xung quanh.
71	Phật môn truyền thừa	[NAME] Sinh ra ở địa phương gọi là Thảo Miếu Thôn, tại [IT] Lúc bảy tuổi, cả thôn bị một ác nhân giết sạch. Một lão hòa thượng đi ngang qua cứu dược [IT], cũng truyền cho [IT] một đoạn khẩu quyết, dặn dò [IT] mỗi ngày tu luyện, không thể nói cho bất luận kẻ nào.
72	Thiên tài vẫn lạc	[NAME] Sinh ra ở một võ học thế gia, vốn là thiên tài tập võ tuyệt thế. Thế mà [IT] lúc mười một tuổi đột nhiên mắc quái bệnh, nội lực dần dần xói mòn, tu luyện trở nên rất gian nan. Nữ hài đính hôn với hắn cũng vì vậy đưa ra hối hôn. \n Thân phận chuyển biến khiến cho [IT] nếm hết ấm lạnh, [IT] thề nhất định phải đoạt lại tất cả những gì của mình.
73	Đồng môn trẻ tuổi	[NAME] Là một đồng tử bồi đọc của tú tài, nhưng mà tên tú tài này nhiều lần thi cử không đậu, trong lúc nóng nảy thường xuyên đối [IT] vừa đánh vừa mắng. \n[NAME] Không chịu nổi nhục, cuối cùng quyết định, lén bỏ đi trong một đêm mưa.
74	Đệ tử giàu có	[NAME] Phụ mẫu là đại thương nhân lừng danh cả nước, sinh ý bận rộn, quanh năm ra ngoài, chỉ cho [IT] để lại lượng lớn tiền bạc tự sinh sống. \n[IT] Bởi vậy từ nhỏ đã quá ngang ngược, cố tình làm bậy mà sống.
75	Vua trò chơi	[NAME] Trời sinh thông minh hiếu động, thích hô bằng dẫn bạn vui đùa. Tại [IT] Mười tuổi thời điểm, vô luận cờ bài đố đèn, vẫn là đá cầu ném thẻ vào bình rượu, [IT] không gì không giỏi. Đấu dế mèn càng là [ITS] tuyệt kỹ độc môn, [IT] chọn lựa dế mèn luôn sắc bén phi thường, hiếm người địch lại.
76	Con mọt sách	[NAME] Có phụ thân là tú tài, cả một đời thi rớt, đặt toàn bộ hi vọng [IT] trên người, mỗi ngày đốc thúc [NAME] đọc sách tập văn. \n[IT] Từ nhỏ đã làm bạn với sách, không để ý đến chuyện bên ngoài. Thành một mọt sách trói gà không chặt, cái gì cũng không biết.
77	Cao thủ dùng ná	[NAME] Khi còn bé đặc biệt am hiểu chơi ná cao su, thường xuyên nháo bộ lạc gà chó không yên. \n tại [IT] Sau khi lớn lên một chút, liền phụ trách trông nom ruộng đồng, dùng ná cao su xua đuổi dã thú nhỏ đến ăn vụng.
78	Thiên sinh quái bệnh	[NAME] Từ nhỏ có quái bệnh, kinh mạch không liên thông với nhau, không cách nào tu luyện. Mà còn thường xuyên té xỉu. Sau mỗi lần té xỉu, [IT] Đều sẽ phát ra mùi thơm kì lạ, chờ thức tỉnh liền như bệnh nặng một trận, suy yếu vô cùng. \n Bị quái bệnh này quấy nhiễu, [NAME] không cách nào làm việc nặng.
79	Đứa trẻ tây vực	[NAME] Sinh ra ở một gia đình Tây Vực ngoại quốc. Tại năm đó mười tuổi, [IT] bộ lạc bị Trung Nguyên chinh phục, [IT] cả nhà cũng bị thu biên đến nội địa Trung Nguyên làm nô tài. \n bởi vì địa vị thấp, lại không hiểu tiếng Trung Nguyên, [IT] cuộc sống mới ở Trung Nguyên rất vất vả, thường xuyên bị làm khó dễ. Điều này cũng làm cho [IT] càng thêm hướng nội.
80	Hoàng tử	[NAME] Là một trong những hoàng tử đương triều. Từ nhỏ ở trong thâm cung tiếp nhận nghiêm khắc giáo huấn cùng đấu đá lẫn nhau tôi luyện. \n Tại thời điểm mười mấy tuổi, [IT] bị đại hoàng tử hãm hại. Vì mạng sống mà [IT] mai danh ẩn tích, giả chết chạy ra hoàng cung.
81	Hoàng đế bù nhìn	[NAME] Lúc ba tuổi liền kế thừa hoàng vị. [ITS] tuổi thơ căn bản là ngây thơ ngồi trên ngôi vua, hưởng thụ người khác ca tụng và nịnh hót. Bị Nhiếp chính vương thao túng mà không biết. \n tại [IT] Năm đó mười ba tuổi, Nhiếp chính vương phát động chính biến, [IT] giữ được tính mạng nhờ tâm phúc của tiên đế. . . Nhưng cũng vĩnh viễn cáo biệt cuộc sống cẩm y ngọc thực.
82	Đồng tử quân	[NAME] Xuất sinh loạn thế, quân phiệt hoành hành trưng binh bốn phía, ngay cả trẻ em cũng không buông tha. [IT] chính vì như vậy bị một đại quân phiệt cưỡng ép chiêu mộ trở thành đồng tử quân. \n[ITS] tuổi thơ đi theo bộ đội chạy trốn khắp nơi, chủ yếu phụ trách một vài công tác kiến thiết hậu kỳ. Về sau đám quân phiệt này bại sự, thủ hạ cũng tứ tán đào mệnh, đường ai nấy đi.
83	Quặng mỏ cô nhi	[NAME] Phụ mẫu đều là thợ mỏ, [IT] Từ nhỏ lớn lên ngay tại lều thợ mỏ. \n Trong một lần khoáng nạn, [ITS] phụ mẫu bất hạnh lâm chung. Vì cuộc sống, [IT] tuổi còn nhỏ đã bị ép phải cầm cuốc chim.
84	Trộm nhí	[NAME] có phụ thân là một tên lưu manh, đam mê cờ bạc, lấy trộm cắp mà sinh sống. Sau khi mưa dầm thấm đất, [NAME] cũng nhiễm phải tính nết không làm mà hưởng, hết ăn lại nằm, cũng thành một tên trộm. \n[IT] Sinh ra có một vẻ ngoài đẹp, khiến người khác buông lỏng cảnh giác. Vì vậy, tuổi con nhỏ [IT] đã nhiều lần thuận lợi.
85	Trộm nhí	[NAME] Khi còn bé bị lừa bán, bị một nhóm ăn cắp ép trở thành trộm. \n trong một lần trộm cắp, [IT] để tờ giấy cầu cứu vào túi mục tiêu, cũng thành công dẫn tới quan phủ chú ý. Nhóm ăn cắp bị hốt trọn một mẻ, [IT] thành công thoát ly khổ hải.
86	Trẻ tàn tật	[NAME] Khi còn bé bị lợn rừng gặm mất một lỗ tai cùng một cánh tay. Mặc dù [IT] may mắn sống sót, nhưng lại tàn tật suốt đời. \n[IT] không vì thế mà nhụt chí, khắc khổ huấn luyện bản thân mình gấp trăm lần. Tại lúc mười tuổi, hắn cho là mình tu luyện đã có thành tựu, liền đi trong núi tìm lợn rừng báo thù. Lần này, [IT] bị cụng gãy hai chân. [IT] từ đó không gượng dậy nổi.
87	Trẻ tàn tật	[NAME] Mắc một loại quái bệnh, [IT] bắt đầu từ mười tuổi không lớn lên nữa, việc này khiến [IT] trông vĩnh viễn như một đứa trẻ. \n căn quái bệnh này [IT] đã mang đến rất nhiều phiền phức, [IT] Không cách nào giống người trưởng thành tự nuôi sống mình, cũng rất khó chiếm được [IT] thừa nhận của người khác.
88	Câm điếc	[NAME] Khi còn bé bị một lần sốt cao, sốt hỏng đầu. Việc này khiến [ITS] trí lực hơi thấp, đồng thời mất khả năng nói chuyện. \n[IT] Vì thế sầu não uất ức, cả ngày tự giam mình tự kỷ ở thế giới cầm kỳ thi họa.
